country_id,year,month,summary,detail,link_group
germany,1972,,Мюнхенская Олимпиада,Теракт «Чёрного сентября».,
germany,1972,8,Теракт на Олимпиаде,,
germany,1973,,ФРГ и ГДР в ООН,,
germany,1973,8,Приём в ООН,,
germany,1974,,Отставка Брандта,,
germany,1974,4,Отставка,,
japan,1960,,Протесты Ампо,,
japan,1960,5,Протесты,,
japan,1964,,Олимпиада в Токио,,
japan,1964,9,Синкансэн,,
japan,1964,10,Олимпийские игры,,
japan,1968,,Вторая экономика мира,,
japan,1970,,ЭКСПО-70,,
japan,1970,2,ЭКСПО-70 в Осаке,,
japan,1972,,Возвращение Окинавы,,
japan,1972,4,Окинава,,
japan,1972,8,Нормализация с Китаем,,
japan,1973,,Нефтяной шок,,
cuba,1961,,Залив Свиней,,
cuba,1961,3,Разгром десанта,,
cuba,1962,,Карибский кризис,Советские ракеты на Кубе.,caribbean_crisis
cuba,1962,9,Обнаружение ракетных баз,,caribbean_crisis
cuba,1962,10,Блокада; демонтаж,,caribbean_crisis
cuba,1965,,Отъезд Че Гевары,,
cuba,1967,,Гибель Че Гевары,,
cuba,1967,9,Че убит в Боливии,,
cuba,1975,,Интервенция в Анголу,,
vietnam,1960,,Создание Вьетконга,,
vietnam,1963,,Переворот в Сайгоне,,
vietnam,1963,10,Убийство Зьема,,
vietnam,1964,,Тонкинский инцидент,,
vietnam,1964,7,Тонкинский инцидент,,
vietnam,1965,,Начало бомбардировок,,
vietnam,1965,2,Rolling Thunder,,
vietnam,1965,6,Наземные операции,,
vietnam,1968,,Тетское наступление,,
vietnam,1968,0,Тетское наступление,,
vietnam,1968,2,Резня в Милай,,
vietnam,1972,,Пасхальное наступление,,
vietnam,1972,3,Наступление Ханоя,,
vietnam,1972,11,Рождественские бомбардировки,,
vietnam,1973,,Парижские соглашения,,
vietnam,1973,0,Подписание соглашений,,
vietnam,1975,,Падение Сайгона,Объединение Вьетнама.,
vietnam,1975,3,30 апреля — падение Сайгона,,
india,1961,,Аннексия Гоа,,
india,1961,11,Захват Гоа,,
india,1962,,Война с Китаем,,
india,1962,9,Наступление Китая,,
india,1962,10,Прекращение огня,,
india,1964,,Смерть Неру,,
india,1964,4,Смерть Неру,,
india,1965,,Война с Пакистаном,,
india,1965,7,Война,,
india,1965,8,Прекращение огня,,
india,1966,,Индира Ганди — премьер,,
india,1966,0,Ганди — премьер,,
india,1971,,Война; Бангладеш,,
india,1971,11,Капитуляция Пакистана,,
india,1974,,Ядерное испытание,,
india,1974,4,«Улыбающийся Будда»,,
india,1975,,Чрезвычайное положение,,
india,1975,5,ЧП введено,,
israel,1960,,Захват Эйхмана,,
israel,1960,4,Похищение Эйхмана,,
israel,1962,,Казнь Эйхмана,,
israel,1962,5,Казнь,,
israel,1967,,Шестидневная война,Захват Синая; Голан; Зап. берега.,
israel,1967,5,Шестидневная война,,
israel,1972,,Мюнхен,,
israel,1972,8,Гибель 11 спортсменов,,
israel,1973,,Война Судного дня,,
israel,1973,9,Начало войны,,
israel,1973,10,Контрнаступление,,
egypt,1960,,Асуанская плотина (начало),,
egypt,1961,,Распад ОАР,,
egypt,1967,,Разгром в Шестидневной,,
egypt,1967,5,Потеря Синая,,
egypt,1970,,Смерть Насера,,
egypt,1970,8,Садат — президент,,
egypt,1971,,Асуанская плотина,,
egypt,1971,0,Открытие плотины,,
egypt,1973,,Война Судного дня,,
egypt,1973,9,Прорыв линии Бар-Лева,,
egypt,1975,,Синайское соглашение,,
